time,81_y
0.0,318
0.04,317
0.08,317
0.12,317
0.16,317
0.2,317
0.24,317
0.28,317
0.32,317
0.36,317
0.4,317
0.44,317
0.48,317
0.52,317
0.56,316
0.6,316
0.64,315
0.68,315
0.72,315
0.76,314
0.8,314
0.84,314
0.88,314
0.92,314
0.96,313
1.0,314
1.04,314
1.08,315
1.12,315
1.16,315
1.2,315
1.24,315
1.28,315
1.32,315
1.36,315
1.4,315
1.44,315
1.48,316
1.52,316
1.56,316
1.6,316
1.64,316
1.68,317
1.72,317
1.76,318
1.8,318
1.84,317
1.88,317
1.92,317
1.96,318
2.0,318
2.04,318
2.08,318
2.12,318
2.16,318
2.2,318
2.24,318
2.28,318
2.32,318
2.36,318
2.4,318
2.44,318
2.48,318
2.52,318
2.56,318
2.6,318
2.64,318
2.68,318
2.72,318
2.76,318
2.8,318
2.84,318
2.88,318
2.92,318
2.96,318
3.0,318
3.04,318
3.08,318
3.12,318
3.16,318
3.2,318
3.24,318
3.28,318
3.32,318
3.36,318
3.4,319
3.44,320
3.48,321
3.52,322
3.56,323
3.6,323
3.64,325
3.68,324
3.72,324
3.76,323
3.8,323
3.84,324
3.88,324
3.92,324
3.96,324
4.0,324
4.04,324
4.08,324
4.12,324
4.16,324
4.2,323
4.24,323
4.28,323
4.32,323
4.36,323
4.4,323
4.44,323
4.48,323
4.52,323
4.56,323
4.6,323
4.64,323
4.68,324
4.72,324
4.76,324
4.8,324
4.84,324
4.88,324
4.92,324
4.96,324
5.0,324
5.04,324
5.08,324
5.12,323
5.16,324
5.2,324
5.24,324
5.28,324
5.32,324
5.36,324
5.4,324
5.44,324
5.48,324
5.52,324
5.56,324
5.6,324
5.64,324
5.68,323
5.72,323
5.76,323
5.8,323
5.84,323
5.88,323
5.92,324
5.96,323
6.0,322
6.04,321
6.08,321
6.12,323
6.16,327
6.2,331
6.24,331
6.28,331
6.32,329
6.36,327
6.4,327
6.44,328
6.48,327
6.52,327
6.56,328
6.6,328
6.64,328
6.68,328
6.72,328
6.76,329
6.8,329
6.84,329
6.88,329
6.92,329
6.96,329
7.0,329
7.04,329
7.08,329
7.12,329
7.16,329
7.2,329
7.24,329
7.28,329
7.32,329
7.36,329
7.4,329
7.44,329
7.48,328
7.52,328
7.56,328
7.6,328
7.64,328
7.68,328
7.72,328
7.76,328
7.8,328
7.84,328
7.88,327
7.92,328
7.96,327
8.0,328
8.04,327
8.08,327
8.12,327
8.16,326
8.2,326
8.24,326
8.28,326
8.32,326
8.36,326
8.4,326
8.44,326
8.48,326
8.52,326
8.56,326
8.6,326
8.64,326
8.68,326
8.72,325
8.76,325
8.8,325
8.84,325
8.88,325
8.92,325
8.96,325
9.0,325
9.04,325
9.08,324
9.12,324
9.16,322
9.2,321
9.24,320
9.28,319
9.32,319
9.36,320
9.4,321
9.44,321
9.48,321
9.52,322
9.56,323
9.6,324
9.64,323
9.68,324
9.72,326
9.76,329
9.8,329
9.84,329
9.88,329
9.92,328
